"date","clones","unique_cloners","collected_at"
"2026-08-26","1","1","2026-09-10T04:51:37Z"
"2026-08-27","13","4","2026-09-10T16:46:36Z"
"2026-08-28","1","1","2026-09-11T16:49:54Z"
"2026-08-29","0","0","2026-09-12T15:56:09Z"
"2026-08-30","2","2","2026-09-12T15:56:09Z"
"2026-08-31","7","6","2026-09-12T15:56:09Z"
"2026-09-01","16","9","2026-09-12T15:56:09Z"
"2026-09-02","4","4","2026-09-12T15:56:09Z"
"2026-09-03","5","4","2026-09-12T15:56:09Z"
"2026-09-04","11","5","2026-09-12T15:56:09Z"
"2026-09-05","4","4","2026-09-12T15:56:09Z"
"2026-09-06","0","0","2026-09-12T15:56:09Z"
"2026-09-07","7","7","2026-09-12T15:56:09Z"
"2026-09-08","2","2","2026-09-12T15:56:09Z"
"2026-09-09","2","2","2026-09-12T15:56:09Z"
"2026-09-10","16","9","2026-09-12T15:56:09Z"
"2026-09-11","22","8","2026-09-12T15:56:09Z"
