"date","path","title","views","unique_visitors","collected_at"
"2026-09-10","/protocorn/clippy-vision","Overview","196","87","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/issues","/issues","38","12","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/issues/50","/issues/50","18","2","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/issues/53","/issues/53","74","59","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/pull/45","/pull/45","10","1","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/pull/46","/pull/46","15","2","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/pull/52","/pull/52","16","4","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/pulls","/pulls","23","8","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/releases/tag/v1.2.2","/releases/tag/v1.2.2","80","16","2026-09-10T04:26:05Z"
"2026-09-10","/protocorn/clippy-vision/tags","/tags","38","1","2026-09-10T04:26:05Z"
