"date","tag","asset","download_count","collected_at"
"2026-09-10","v1.0.0","ClippyVision-Setup-1.0.0.exe","1","2026-09-10T16:46:36Z"
"2026-09-10","v1.0.1","ClippyVision-Setup-1.0.1.exe","5","2026-09-10T16:46:36Z"
"2026-09-10","v1.2.0","ClippyVision-macOS-arm64-1.2.0.dmg","4","2026-09-10T16:46:36Z"
"2026-09-10","v1.2.0","ClippyVision-macOS-x64-1.2.0.dmg","1","2026-09-10T16:46:36Z"
"2026-09-10","v1.2.0","ClippyVision-Windows-Setup-1.2.0.exe","12","2026-09-10T16:46:36Z"
"2026-09-10","v1.2.2","ClippyVision-macOS-arm64-1.2.2.dmg","0","2026-09-10T16:46:36Z"
"2026-09-10","v1.2.2","ClippyVision-macOS-x64-1.2.2.dmg","1","2026-09-10T16:46:36Z"
"2026-09-10","v1.2.2","ClippyVision-Windows-Setup-1.2.2.exe","18","2026-09-10T16:46:36Z"
"2026-09-11","v1.0.0","ClippyVision-Setup-1.0.0.exe","1","2026-09-11T16:49:54Z"
"2026-09-11","v1.0.1","ClippyVision-Setup-1.0.1.exe","6","2026-09-11T16:49:54Z"
"2026-09-11","v1.2.0","ClippyVision-macOS-arm64-1.2.0.dmg","4","2026-09-11T16:49:54Z"
"2026-09-11","v1.2.0","ClippyVision-macOS-x64-1.2.0.dmg","1","2026-09-11T16:49:54Z"
"2026-09-11","v1.2.0","ClippyVision-Windows-Setup-1.2.0.exe","13","2026-09-11T16:49:54Z"
"2026-09-11","v1.2.2","ClippyVision-macOS-arm64-1.2.2.dmg","1","2026-09-11T16:49:54Z"
"2026-09-11","v1.2.2","ClippyVision-macOS-x64-1.2.2.dmg","1","2026-09-11T16:49:54Z"
"2026-09-11","v1.2.2","ClippyVision-Windows-Setup-1.2.2.exe","19","2026-09-11T16:49:54Z"
"2026-09-11","v1.3.0","ClippyVision-macOS-arm64-1.3.0.dmg","1","2026-09-11T16:49:54Z"
"2026-09-11","v1.3.0","ClippyVision-macOS-x64-1.3.0.dmg","1","2026-09-11T16:49:54Z"
"2026-09-11","v1.3.0","ClippyVision-Windows-Setup-1.3.0.exe","2","2026-09-11T16:49:54Z"
"2026-09-11","v1.3.1","ClippyVision-macOS-arm64-1.3.1.dmg","0","2026-09-11T16:49:54Z"
"2026-09-11","v1.3.1","ClippyVision-macOS-x64-1.3.1.dmg","0","2026-09-11T16:49:54Z"
"2026-09-11","v1.3.1","ClippyVision-Windows-Setup-1.3.1.exe","0","2026-09-11T16:49:54Z"
"2026-09-12","v1.0.0","ClippyVision-Setup-1.0.0.exe","1","2026-09-12T15:56:09Z"
"2026-09-12","v1.0.1","ClippyVision-Setup-1.0.1.exe","6","2026-09-12T15:56:09Z"
"2026-09-12","v1.2.0","ClippyVision-macOS-arm64-1.2.0.dmg","5","2026-09-12T15:56:09Z"
"2026-09-12","v1.2.0","ClippyVision-macOS-x64-1.2.0.dmg","3","2026-09-12T15:56:09Z"
"2026-09-12","v1.2.0","ClippyVision-Windows-Setup-1.2.0.exe","13","2026-09-12T15:56:09Z"
"2026-09-12","v1.2.2","ClippyVision-macOS-arm64-1.2.2.dmg","2","2026-09-12T15:56:09Z"
"2026-09-12","v1.2.2","ClippyVision-macOS-x64-1.2.2.dmg","1","2026-09-12T15:56:09Z"
"2026-09-12","v1.2.2","ClippyVision-Windows-Setup-1.2.2.exe","19","2026-09-12T15:56:09Z"
"2026-09-12","v1.3.0","ClippyVision-macOS-arm64-1.3.0.dmg","1","2026-09-12T15:56:09Z"
"2026-09-12","v1.3.0","ClippyVision-macOS-x64-1.3.0.dmg","1","2026-09-12T15:56:09Z"
"2026-09-12","v1.3.0","ClippyVision-Windows-Setup-1.3.0.exe","2","2026-09-12T15:56:09Z"
"2026-09-12","v1.3.1","ClippyVision-macOS-arm64-1.3.1.dmg","0","2026-09-12T15:56:09Z"
"2026-09-12","v1.3.1","ClippyVision-macOS-x64-1.3.1.dmg","0","2026-09-12T15:56:09Z"
"2026-09-12","v1.3.1","ClippyVision-Windows-Setup-1.3.1.exe","0","2026-09-12T15:56:09Z"
