"date","views_14d","unique_views_14d","clones_14d","unique_clones_14d","collected_at"
"2026-09-10","595","163","74","41","2026-09-10T16:46:36Z"
"2026-09-11","605","156","77","45","2026-09-11T16:49:54Z"
"2026-09-12","625","157","98","49","2026-09-12T15:56:09Z"
"2026-09-13","642","154","157","62","2026-09-13T16:45:15Z"
"2026-09-14","629","152","172","67","2026-09-14T18:16:41Z"
"2026-09-15","597","152","185","74","2026-09-15T17:24:37Z"
"2026-09-16","452","84","178","70","2026-09-16T17:23:43Z"
"2026-09-17","436","82","181","73","2026-09-17T17:22:49Z"
"2026-09-18","374","70","179","72","2026-09-18T16:50:15Z"
"2026-09-19","353","66","180","75","2026-09-19T16:09:50Z"
"2026-09-20","364","68","189","75","2026-09-20T16:38:23Z"
"2026-09-21","346","64","205","81","2026-09-21T18:24:16Z"
"2026-09-22","363","73","204","79","2026-09-22T17:26:53Z"
"2026-09-23","358","67","214","83","2026-09-23T17:36:22Z"
"2026-09-24","367","66","228","87","2026-09-24T17:39:15Z"
"2026-09-25","367","66","228","87","2026-09-25T17:38:48Z"
