"date","views","unique_visitors","collected_at"
"2026-08-26","34","8","2026-09-10T04:51:37Z"
"2026-08-27","49","11","2026-09-10T16:46:36Z"
"2026-08-28","39","8","2026-09-11T16:49:54Z"
"2026-08-29","19","9","2026-09-11T16:49:54Z"
"2026-08-30","27","5","2026-09-11T16:49:54Z"
"2026-08-31","44","8","2026-09-11T16:49:54Z"
"2026-09-01","168","74","2026-09-11T16:49:54Z"
"2026-09-02","31","14","2026-09-11T16:49:54Z"
"2026-09-03","77","20","2026-09-11T16:49:54Z"
"2026-09-04","32","9","2026-09-11T16:49:54Z"
"2026-09-05","14","4","2026-09-11T16:49:54Z"
"2026-09-06","29","10","2026-09-11T16:49:54Z"
"2026-09-07","19","7","2026-09-11T16:49:54Z"
"2026-09-08","17","13","2026-09-11T16:49:54Z"
"2026-09-09","30","8","2026-09-11T16:49:54Z"
"2026-09-10","59","4","2026-09-11T16:49:54Z"
